period,ratio,keyword,age
2025-07-01,1.7318,창억떡,40대
2025-08-01,1.98134,창억떡,40대
2025-09-01,3.8419,창억떡,40대
2025-10-01,2.78204,창억떡,40대
2025-11-01,2.28873,창억떡,40대
2025-12-01,2.56328,창억떡,40대
2026-01-01,3.08476,창억떡,40대
2026-02-01,3.66148,창억떡,40대
2026-03-01,14.54932,창억떡,40대
2026-04-01,15.39372,창억떡,40대
2025-05-01,0.00054,버터떡,40대
2025-06-01,0.00054,버터떡,40대
2025-07-01,0.00013,버터떡,40대
2025-08-01,0.00013,버터떡,40대
2025-09-01,0.00343,버터떡,40대
2025-10-01,0.00151,버터떡,40대
2025-11-01,0.00027,버터떡,40대
2025-12-01,0.00178,버터떡,40대
2026-01-01,0.00687,버터떡,40대
2026-02-01,0.07653,버터떡,40대
2026-03-01,42.02212,버터떡,40대
2026-04-01,11.73691,버터떡,40대
2025-05-01,1.35886,두바이쫀득쿠키,40대
2025-06-01,1.21733,두바이쫀득쿠키,40대
2025-07-01,1.1199,두바이쫀득쿠키,40대
2025-08-01,2.34163,두바이쫀득쿠키,40대
2025-09-01,2.68805,두바이쫀득쿠키,40대
2025-10-01,3.84094,두바이쫀득쿠키,40대
2025-11-01,8.23661,두바이쫀득쿠키,40대
2025-12-01,38.70664,두바이쫀득쿠키,40대
2026-01-01,100.0,두바이쫀득쿠키,40대
2026-02-01,15.29918,두바이쫀득쿠키,40대
2026-03-01,3.82857,두바이쫀득쿠키,40대
2026-04-01,1.25951,두바이쫀득쿠키,40대
2025-05-01,0.30748,저당,40대
2025-06-01,0.2999,저당,40대
2025-07-01,0.31939,저당,40대
2025-08-01,0.311,저당,40대
2025-09-01,0.30748,저당,40대
2025-10-01,0.24874,저당,40대
2025-11-01,0.24387,저당,40대
2025-12-01,0.24089,저당,40대
2026-01-01,0.23331,저당,40대
2026-02-01,0.21518,저당,40대
2026-03-01,0.20895,저당,40대
2026-04-01,0.17647,저당,40대
